# Dictionary extracted from https://synagonism.net/otenet/gr/gpd.html
# Thanks to Nikos Kasseluris at https://synagonism.net
αβάκιο α-βά-κι-ο
αβέβαιες α-βέ-βαι-ες
αβεβαιοτήτων α-βε-βαι-ο-τή-των
αβέβαιους α-βέ-βαι-ους
αγαθά α-γα-θά
αγαθό α-γα-θό
αγαθού α-γα-θού
αγαθών α-γα-θών
αγαπάς α-γα-πάς
αγαπάω α-γα-πά-ω
αγάπη α-γά-πη
αγαπηθεί α-γα-πη-θεί
αγαπήθηκα α-γα-πή-θη-κα
αγάπης α-γά-πης
αγάπησα α-γά-πη-σα
αγάπησε α-γά-πη-σε
αγαπήσει α-γα-πή-σει
αγαπήσω α-γα-πή-σω
αγαπιέμαι α-γα-πιέ-μαι
αγαπιόμουν α-γα-πιό-μουν
αγαπούσα α-γα-πού-σα
αγαπώντας α-γα-πώ-ντας
αγγαρεία α-γγα-ρεί-α
άγγελοι ά-γγε-λοι
αγγέλων α-γγέ-λων
άγγιξε ά-γγι-ξε
αγγίξει α-γγί-ξει
αγγλικά α-γγλι-κά
αγγλική α-γγλι-κή
άγγλος ά-γγλος
άγγλου ά-γγλου
αγεφύρωτη α-γε-φύ-ρω-τη
αγνοεί α-γνο-εί
αγνοείς α-γνο-είς
αγνοηθεί α-γνο-η-θεί
αγνοήθηκα α-γνο-ή-θη-κα
αγνόησα α-γνό-η-σα
αγνόησε α-γνό-η-σε
αγνοήσει α-γνο-ή-σει
αγνοήσω α-γνο-ή-σω
άγνοιας ά-γνοι-ας
αγνοούμαι α-γνο-ού-μαι
αγνοούσα α-γνο-ού-σα
αγνοώ α-γνο-ώ
αγνοώντας α-γνο-ώ-ντας
άγνωστα ά-γνω-στα
αγνωστικισμός α-γνω-στι-κι-σμός
άγνωστο ά-γνω-στο
άγνωστοι ά-γνω-στοι
αγνώστου α-γνώ-στου
αγορά α-γο-ρά
αγόραζα α-γό-ρα-ζα
αγόραζαν α-γό-ρα-ζαν
αγόραζε α-γό-ρα-ζε
αγοράζει α-γο-ρά-ζει
αγοράζεις α-γο-ρά-ζεις
αγοράζομαι α-γο-ρά-ζο-μαι
αγοραζόμουν α-γο-ρα-ζό-μουν
αγοράζοντας α-γο-ρά-ζο-ντας
αγοράζουμε α-γο-ρά-ζου-με
αγοράζουν α-γο-ρά-ζουν
αγοράζω α-γο-ρά-ζω
αγοραία α-γο-ραί-α
αγοραίας α-γο-ραί-ας
αγοραπωλησίας α-γο-ρα-πω-λη-σί-ας
αγοραπωλησίες α-γο-ρα-πω-λη-σί-ες
αγοράς α-γο-ράς
αγόρασα α-γό-ρα-σα
αγόρασε α-γό-ρα-σε
αγοράσει α-γο-ρά-σει
αγοράσεις α-γο-ρά-σεις
αγοράσουν α-γο-ρά-σουν
αγοραστεί α-γο-ρα-στεί
αγοραστές α-γο-ρα-στές
αγοράστηκα α-γο-ρά-στη-κα
αγοράστηκε α-γο-ρά-στη-κε
αγοραστών α-γο-ρα-στών
αγοράσω α-γο-ρά-σω
αγορές α-γο-ρές
αγορών α-γο-ρών
αγωγή α-γω-γή
αγώνες α-γώ-νες
αγωνία α-γω-νί-α
αγώνων α-γώ-νων
αδελφότητα α-δελ-φό-τη-τα
αδελφότητας α-δελ-φό-τη-τας
αδένες α-δέ-νες
αδήριτη α-δή-ρι-τη
αδιαίρετα α-δι-αί-ρε-τα
αδιάκοπα α-διά-κο-πα
αδιάκοπη α-διά-κο-πη
αδιάκοπος α-διά-κο-πος
αδιαμφισβήτητο α-δι-αμ-φι-σβή-τη-το
αδιαφιλονίκητη α-δι-α-φι-λο-νί-κη-τη
αδιάφορους α-διά-φο-ρους
αδικημένων α-δι-κη-μέ-νων
αδρεναλίνη α-δρε-να-λί-νη
αδυναμία α-δυ-να-μί-α
αδύνατες α-δύ-να-τες
αδύνατο α-δύ-να-το
αδύνατον α-δύ-να-τον
αδυνάτων α-δυ-νά-των
αδυσώπητες α-δυ-σώ-πη-τες
αδυσώπητης α-δυ-σώ-πη-της
αέναης α-έ-να-ης
αενάως α-ε-νά-ως
αέρα α-έ-ρα
αέρας α-έ-ρας
αεροπλανάκια α-ε-ρο-πλα-νά-κια
αεροπορικά α-ε-ρο-πο-ρι-κά
αηδόνι α-η-δό-νι
αήττητη α-ή-ττη-τη
αθεϊσμό α-θε-ϊ-σμό
αθεϊσμός α-θε-ϊ-σμός
άθελα ά-θε-λα
Αθήνα Α-θή-να
Αθηνών Α-θη-νών
